code	532	1064	633
NS10	0.00533	0.00583	0.00553
NS10H	0.00898	0.01466	0.01
NS13	0.01354	0.02887	0.021155
NS13H	0.02241	0.08378	0.03425
NS8H	0.23262	0.09011	0.22263
NS3H	0.08326	0.22474	0.07034
NS3	0.07293	0.21569	0.06129
TC6H	0.211	0.3694	0.3238
TC6	0.23944	0.39398	0.37333
TC7	0.12775	0.24787	0.25936
TC7H	0.14594	0.2519	0.27334
M1	0.308	0.0	0.0
M2	0.308	0.0	0.0
M3	0.0124	0.0	0.0
1	1.	1.	1.
